player,fname,lname,posd,start,cteam,comb_player
CB-0800,Connor,Barwin,LDE,2009,PHI,"Connor Barwin, PHI LDE"
CB-1130,Cole,Beasley,RWR,2012,DAL,"Cole Beasley, DAL RWR"
CB-1180,Caleb,Benenoch,RG,2016,TB,"Caleb Benenoch, TB RG"
CB-2000,Clint,Boling,LG,2011,CIN,"Clint Boling, CIN LG"
CB-2275,Chris,Boswell,PK,2014,PIT,"Chris Boswell, PIT PK"
CB-2450,Carl,Bradford,LILB,2014,SF,"Carl Bradford, SF LILB"
CB-2775,Cameron,Brate,TE,2014,TB,"Cameron Brate, TB TE"
CB-3650,Chris,Brown,RWR,2016,CIN,"Chris Brown, CIN RWR"
CB-3700,Chykie,Brown,RCB,2011,CIN,"Chykie Brown, CIN RCB"
CB-3850,Corey,Brown,RWR,2014,CAR,"Corey Brown, CAR RWR"
CB-4725,C.B.,Bryant,SS,2014,ARI,"C.B. Bryant, ARI SS"
CB-4770,Corbin,Bryant,NT,2011,BUF,"Corbin Bryant, BUF NT"
CB-5200,Crezdon,Butler,RCB,2010,DET,"Crezdon Butler, DET RCB"
CB-5300,Carter,Bykowski,LG,2013,ATL,"Carter Bykowski, ATL LG"
CC-0200,Calais,Campbell,LDE,2008,ARI,"Calais Campbell, ARI LDE"
CC-0900,Chris,Carter,OLB,2011,IND,"Chris Carter, IND OLB"
CC-1150,Chandler,Catanzaro,PK,2014,ARI,"Chandler Catanzaro, ARI PK"
CC-1600,Chimdi,Chekwa,RCB,2011,MIA,"Chimdi Chekwa, MIA RCB"
CC-1700,Chris,Chester,RG,2006,ATL,"Chris Chester, ATL RG"
CC-1900,Chris,Clark,RT,2008,HOU,"Chris Clark, HOU RT"
CC-2100,Charles,Clay,TE,2011,BUF,"Charles Clay, BUF TE"
CC-3650,Corey,Coleman,LWR,2016,CLE,"Corey Coleman, CLE LWR"
CC-3950,Chris,Conley,RWR,2015,KC,"Chris Conley, KC RWR"
CC-4000,Chris,Conte,SS,2011,TB,"Chris Conte, TB SS"
CC-4250,Connor,Cook,QB,2016,OAK,"Connor Cook, OAK QB"
CC-4450,Cody,Core,LWR,2016,CIN,"Cody Core, CIN LWR"
CC-4550,Christian,Covington,RDE,2015,HOU,"Christian Covington, HOU RDE"
CD-0300,Chase,Daniel,QB,2009,PHI,"Chase Daniel, PHI QB"
CD-0650,Carl,Davis,NT,2015,BAL,"Carl Davis, BAL NT"
CD-0925,Chris,Davis,RCB,2014,SF,"Chris Davis, SF RCB"
CD-0950,Cody,Davis,FS,2013,LA,"Cody Davis, LA FS"
CD-1150,Clay,DeBord,LT,2016,DAL,"Clay DeBord, DAL LT"
CD-2200,Carlos,Dunlap,LDE,2010,CIN,"Carlos Dunlap, CIN LDE"
CE-0150,Cornelius,Edison,RG,2015,CHI,"Cornelius Edison, CHI RG"
CE-0650,Cameron,Erving,C,2015,CLE,"Cameron Erving, CLE C"
CF-0175,Chase,Farris,RG,2016,NE,"Chase Farris, NE RG"
CF-0337,Clayton,Fejedelem,SS,2016,CIN,"Clayton Fejedelem, CIN SS"
CF-0375,C.J.,Fiedorowicz,TE,2014,HOU,"C.J. Fiedorowicz, HOU TE"
CF-0387,Carlos,Fields Jr.,RILB,2014,SD,"Carlos Fields Jr., SD RILB"
CF-0650,Coby,Fleener,TE,2012,NO,"Coby Fleener, NO TE"
CF-0675,Cameron,Fleming,RT,2014,NE,"Cameron Fleming, NE RT"
CF-1550,Corey,Fuller,LWR,2013,NO,"Corey Fuller, NO LWR"
CG-0150,Charles,Gaines,LCB,2015,BUF,"Charles Gaines, BUF LCB"
CG-0750,Clayton,Geathers,FS,2015,IND,"Clayton Geathers, IND FS"
CG-1030,Crockett,Gillmore,TE,2014,BAL,"Crockett Gillmore, BAL TE"
CG-1250,Cordy,Glenn,LT,2012,BUF,"Cordy Glenn, BUF LT"
CG-1450,C.J.,Goodwin,LCB,2014,ATL,"C.J. Goodwin, ATL LCB"
CG-1650,Chris,Gragg,TE,2013,BUF,"Chris Gragg, BUF TE"
CG-1700,Corey,Graham,FS,2007,BUF,"Corey Graham, BUF FS"
CG-1950,Corey,Grant,RB,2015,JAC,"Corey Grant, JAC RB"
CG-1975,Curtis,Grant,MLB,2015,NYG,"Curtis Grant, NYG MLB"
CG-2175,Chaz,Green,LT,2015,DAL,"Chaz Green, DAL LT"
CG-2400,Chad,Greenway,WLB,2006,MIN,"Chad Greenway, MIN WLB"
CH-0025,Christian,Hackenberg,QB,2016,NYJ,"Christian Hackenberg, NYJ QB"
CH-0200,Chris,Hairston,RT,2011,SD,"Chris Hairston, SD RT"
CH-0525,C.J.,Ham,RB,2016,MIN,"C.J. Ham, MIN RB"
CH-0600,Cobi,Hamilton,LWR,2013,PIT,"Cobi Hamilton, PIT LWR"
CH-0750,Connor,Hamlett,TE,2015,DAL,"Connor Hamlett, DAL TE"
CH-1200,Clay,Harbor,TE,2010,DET,"Clay Harbor, DET TE"
CH-1230,Cory,Harkey,TE,2012,LA,"Cory Harkey, LA TE"
CH-1290,Chris,Harper,SWR,2015,SF,"Chris Harper, SF SWR"
CH-1500,Chris,Harris,RCB,2011,DEN,"Chris Harris, DEN RCB"
CH-1700,Clark,Harris,LS,2007,CIN,"Clark Harris, CIN LS"
CH-2250,Casey,Hayward,RCB,2012,SD,"Casey Hayward, SD RCB"
CH-2350,Cooper,Helfet,TE,2012,OAK,"Cooper Helfet, OAK TE"
CH-2400,Chad,Henne,QB,2008,JAC,"Chad Henne, JAC QB"
CH-3100,Cameron,Heyward,LDE,2011,PIT,"Cameron Heyward, PIT LDE"
CH-3350,Chris,Hogan,LWR,2011,NE,"Chris Hogan, NE LWR"
CH-4550,Chris,Hubbard,RT,2013,PIT,"Chris Hubbard, PIT RT"
CH-4575,Chris,Hubert,RWR,2016,ARI,"Chris Hubert, ARI RWR"
CH-4650,Charley,Hughlett,LS,2012,CLE,"Charley Hughlett, CLE LS"
CH-5000,Carlos,Hyde,RB,2014,SF,"Carlos Hyde, SF RB"
CI-0300,Chris,Ivory,RB,2010,JAC,"Chris Ivory, JAC RB"
CJ-0650,Charles,James,RCB,2013,IND,"Charles James, IND RCB"
CJ-0675,Cory,James,MLB,2016,OAK,"Cory James, OAK MLB"
CJ-0900,Cullen,Jenkins,LDE,2003,WAS,"Cullen Jenkins, WAS LDE"
CJ-1150,Cam,Johnson,OLB,2012,CLE,"Cam Johnson, CLE OLB"
CJ-1300,Charles,Johnson,LDE,2007,CAR,"Charles Johnson, CAR LDE"
CJ-1450,Charles,Johnson,LWR,2013,MIN,"Charles Johnson, MIN LWR"
CJ-1700,Chris,Johnson,RB,2008,ARI,"Chris Johnson, ARI RB"
CJ-1750,Cory,Johnson,NT,2016,KC,"Cory Johnson, KC NT"
CJ-1850,Cardale,Jones,QB,2016,BUF,"Cardale Jones, BUF QB"
CJ-1875,Cayleb,Jones,LWR,2016,MIN,"Cayleb Jones, MIN LWR"
CJ-2050,Chandler,Jones,SAM,2012,ARI,"Chandler Jones, ARI SAM"
CJ-2100,Chris,Jones,P,2011,DAL,"Chris Jones, DAL P"
CJ-2150,Chris,Jones,RDT,2013,SF,"Chris Jones, SF RDT"
CJ-2168,Chris,Jones,RDE,2016,KC,"Chris Jones, KC RDE"
CJ-2175,Christian,Jones,RILB,2014,CHI,"Christian Jones, CHI RILB"
CJ-2300,Colin,Jones,FS,2011,CAR,"Colin Jones, CAR FS"
CJ-2350,Cyrus,Jones,RCB,2016,NE,"Cyrus Jones, NE RCB"
CJ-2400,Cameron,Jordan,RDE,2011,NO,"Cameron Jordan, NO RDE"
CK-0100,Colin,Kaepernick,QB,2011,SF,"Colin Kaepernick, SF QB"
CK-0250,Case,Keenum,QB,2012,LA,"Case Keenum, LA QB"
CK-0270,Colin,Kelly,LT,2013,JAC,"Colin Kelly, JAC LT"
CK-0550,Cody,Kessler,QB,2016,CLE,"Cody Kessler, CLE QB"
CK-0850,Christian,Kirksey,RILB,2014,CLE,"Christian Kirksey, CLE RILB"
CK-0950,Cyrus,Kouandjio,LT,2014,BUF,"Cyrus Kouandjio, BUF LT"
CK-0975,Casey,Kreiter,LS,2014,DEN,"Casey Kreiter, DEN LS"
CL-0225,Chris,Landrum,LOLB,2016,SD,"Chris Landrum, SD LOLB"
CL-0275,Cody,Latimer,RWR,2014,DEN,"Cody Latimer, DEN RWR"
CL-0450,Cre'von,LeBlanc,RCB,2016,CHI,"Cre'von LeBlanc, CHI RCB"
CL-0850,Corey,Lemonier,OLB,2013,NYJ,"Corey Lemonier, NYJ OLB"
CL-0862,Charles,Leno,LT,2014,CHI,"Charles Leno, CHI LT"
CL-0950,Chris,Lewis-Harris,RCB,2012,BAL,"Chris Lewis-Harris, BAL RCB"
CL-0975,Corey,Linsley,C,2014,GB,"Corey Linsley, GB C"
CL-0987,Cory,Littleton,WS,2016,LA,"Cory Littleton, LA WS"
CL-1000,Corey,Liuget,DT,2011,SD,"Corey Liuget, SD DT"
CL-1400,Chris,Long,LDE,2008,NE,"Chris Long, NE LDE"
CL-1750,Cornelius,Lucas,RT,2014,DET,"Cornelius Lucas, DET RT"
CL-1775,Cavellis,Luckett,ILB,2016,BAL,"Cavellis Luckett, BAL ILB"
CL-1850,Cameron,Lynch,SLB,2015,TB,"Cameron Lynch, TB SLB"
CL-2000,Caushaud,Lyons,LDE,2015,TEN,"Caushaud Lyons, TEN LDE"
CM-0150,Craig,Mager,LCB,2015,SD,"Craig Mager, SD LCB"
CM-0156,Curt,Maggitt,SLB,2016,IND,"Curt Maggitt, IND SLB"
CM-0168,Cole,Manhart,RG,2015,PIT,"Cole Manhart, PIT RG"
CM-0175,Chris,Manhertz,TE,2014,CAR,"Chris Manhertz, CAR TE"
CM-0200,Chris,Maragos,S,2010,PHI,"Chris Maragos, PHI S"
CM-0250,Cassius,Marsh,LOLB,2014,SEA,"Cassius Marsh, SEA LOLB"
CM-0850,Chris,Matthews,LWR,2011,BAL,"Chris Matthews, BAL LWR"
CM-0900,Clay,Matthews,ROLB,2009,GB,"Clay Matthews, GB ROLB"
CM-1050,Chris,Mayes,RT,2016,ATL,"Chris Mayes, ATL RT"
CM-1250,Chris,McCain,ROLB,2014,SD,"Chris McCain, SD ROLB"
CM-1500,Colt,McCoy,QB,2010,WAS,"Colt McCoy, WAS QB"
